timestamp,ax,ay,az,qs,qx,qy,qz,amag
1636030845267019.000000,-0.007686,-0.011773,1.026142,-0.007625,0.030261,0.418745,0.907568,0.016024
1636030845276741.000000,-0.007137,-0.010736,1.024556,-0.007625,0.030261,0.418745,0.907568,0.014736
1636030845286329.000000,-0.006161,-0.010492,1.025471,-0.007625,0.030261,0.418745,0.907568,0.013638
1636030845295922.000000,-0.006283,-0.011712,1.026813,-0.007625,0.030261,0.418745,0.907568,0.014701
1636030845305642.000000,-0.008052,-0.012261,1.026569,-0.007625,0.030261,0.418745,0.907568,0.016733
1636030845315216.000000,-0.008235,-0.011346,1.025837,-0.007625,0.030261,0.418745,0.907568,0.016259
1636030845324805.000000,-0.006588,-0.009760,1.025898,-0.007625,0.030261,0.418745,0.907568,0.013493
1636030845334517.000000,-0.006222,-0.009272,1.027911,-0.007625,0.030261,0.418745,0.907568,0.012783
1636030845344115.000000,-0.002135,-0.006649,1.032181,-0.007625,0.030261,0.418745,0.907568,0.007302
1636030845353830.000000,-0.013786,-0.013481,1.024617,-0.007625,0.030261,0.418745,0.907568,0.023703
1636030845363372.000000,-0.025742,-0.021045,1.017175,-0.007625,0.030261,0.418745,0.907568,0.042050
1636030845372984.000000,-0.014457,-0.014884,1.024068,-0.007625,0.030261,0.418745,0.907568,0.025289
1636030845382626.000000,-0.010919,-0.012871,1.027850,-0.007625,0.030261,0.418745,0.907568,0.020103
1636030845392264.000000,-0.013969,-0.014457,1.026203,-0.007625,0.030261,0.418745,0.907568,0.024480
1636030845401910.000000,-0.012749,-0.015555,1.023641,-0.007625,0.030261,0.418745,0.907568,0.023812
1636030845411571.000000,-0.012261,-0.014701,1.023031,-0.007625,0.030261,0.418745,0.907568,0.022733
1636030845421216.000000,-0.003050,-0.006344,1.029436,-0.007625,0.030261,0.418745,0.907568,0.007671
1636030845430854.000000,-0.002440,-0.006954,1.029070,-0.007625,0.030261,0.418745,0.907568,0.007763
1636030845440496.000000,-0.010797,-0.013359,1.023397,-0.007625,0.030261,0.418745,0.907568,0.020288
1636030845450156.000000,-0.008906,-0.012200,1.025105,-0.007625,0.030261,0.418745,0.907568,0.017535
1636030845459792.000000,-0.009150,-0.011895,1.027423,-0.007625,0.030261,0.418745,0.907568,0.017577
1636030845469347.000000,-0.008357,-0.011773,1.028216,-0.007625,0.030261,0.418745,0.907568,0.016682
1636030845479102.000000,-0.006100,-0.010065,1.028277,-0.007625,0.030261,0.418745,0.907568,0.013256
1636030845488669.000000,-0.011102,-0.013298,1.025288,-0.007625,0.030261,0.418745,0.907568,0.020575
1636030845498266.000000,-0.015006,-0.016409,1.023519,-0.007625,0.030261,0.418745,0.907568,0.026826
1636030845507993.000000,-0.010919,-0.012993,1.026020,-0.007625,0.030261,0.418745,0.907568,0.020181
1636030845517616.000000,-0.009577,-0.011712,1.025837,-0.007625,0.030261,0.418745,0.907568,0.017906
1636030845527217.000000,-0.011529,-0.013664,1.025105,-0.007625,0.030261,0.418745,0.907568,0.021273
1636030845536837.000000,-0.010004,-0.012810,1.026569,-0.007625,0.030261,0.418745,0.907568,0.019085
1636030845546455.000000,-0.005063,-0.009211,1.029924,-0.007625,0.030261,0.418745,0.907568,0.011667
1636030845556076.000000,-0.006832,-0.009760,1.029741,-0.007625,0.030261,0.418745,0.907568,0.013734
1636030845565701.000000,-0.014335,-0.014335,1.025044,-0.007625,0.030261,0.418745,0.907568,0.024829
1636030845575451.000000,-0.014945,-0.015189,1.023824,-0.007625,0.030261,0.418745,0.907568,0.026027
1636030845585067.000000,-0.012749,-0.014518,1.024129,-0.007625,0.030261,0.418745,0.907568,0.023148
1636030845594626.000000,-0.011956,-0.015189,1.023946,-0.007625,0.030261,0.418745,0.907568,0.022729
1636030845606465.000000,-0.011956,-0.015311,1.024434,-0.007625,0.030261,0.418745,0.907568,0.022810
1636030845613978.000000,-0.012261,-0.014945,1.024922,-0.007625,0.030261,0.418745,0.907568,0.022891
1636030845623562.000000,-0.011956,-0.014457,1.024678,-0.007625,0.030261,0.418745,0.907568,0.022246
1636030845633605.000000,-0.011285,-0.014213,1.024068,-0.007625,0.030261,0.418745,0.907568,0.021371
1636030845642797.000000,-0.010980,-0.014457,1.024434,-0.007625,0.030261,0.418745,0.907568,0.021216
1636030845652464.000000,-0.011468,-0.014274,1.025349,-0.007625,0.030261,0.418745,0.907568,0.021605
1636030845662150.000000,-0.024583,-0.026352,1.012173,-0.007625,0.030261,0.418745,0.907568,0.043624
1636030845671806.000000,-0.010980,-0.011346,1.026325,-0.007625,0.030261,0.418745,0.907568,0.019232
1636030845681336.000000,-0.004636,-0.004819,1.035780,-0.007625,0.030261,0.418745,0.907568,0.008137
1636030845691015.000000,-0.022997,-0.021838,1.020042,-0.007625,0.030261,0.418745,0.907568,0.039174
1636030845700718.000000,-0.000732,-0.006527,1.030961,-0.007625,0.030261,0.418745,0.907568,0.006609
1636030845710337.000000,0.001525,-0.005734,1.032791,-0.007625,0.030261,0.418745,0.907568,0.006126
1636030845720011.000000,-0.010614,-0.012444,1.027606,-0.007625,0.030261,0.418745,0.907568,0.019498
1636030845729683.000000,-0.010065,-0.011407,1.026386,-0.007625,0.030261,0.418745,0.907568,0.018241
1636030845739218.000000,-0.014762,-0.013481,1.025837,-0.007625,0.030261,0.418745,0.907568,0.024851
